"DistinguishedName","DNSHostName","Enabled","Name","ObjectClass","ObjectGUID","SamAccountName","SID","UserPrincipalName"
"CN=vm-MACHINE-T,OU=Domain Controllers,DC=techlab,DC=br","vm-MACHINE-T.techlab.br","True","vm-MACHINE-T","computer","4b464f18-25c6-4088-a674-60a6ffacaffc","vm-MACHINE-T$","S-1-5-21-925037465-2226837016-4004537459-16802",
"CN=MACHINE-TVGAPP,OU=Internos,OU=Servidores,DC=techlab,DC=br","MACHINE-Tvgapp.techlab.br","True","MACHINE-TVGAPP","computer","ea10c8ba-b8f4-4abe-a2ce-facb2758b665","MACHINE-TVGAPP$","S-1-5-21-925037465-2226837016-4004537459-12113",
"CN=MACHINE-TVGCRM,OU=Internos,OU=Servidores,DC=techlab,DC=br","MACHINE-Tvgcrm.techlab.br","True","MACHINE-TVGCRM","computer","fa588690-e7d6-4bcb-a827-2aca3ac4836f","MACHINE-TVGCRM$","S-1-5-21-925037465-2226837016-4004537459-13817",
"CN=MACHINE-TVGSTORAGE,OU=Computadores_Pendentes,OU=techlab_Brasil,DC=techlab,DC=br","MACHINE-TVGSTORAGE.techlab.br","False","MACHINE-TVGSTORAGE","computer","79e80c87-9f0b-4165-b14a-765ca657a3e0","MACHINE-TVGSTORAGE$","S-1-5-21-925037465-2226837016-4004537459-13947",
"CN=COD17,OU=Computadores,OU=Consultoria ESG,OU=Matriz,OU=MA,OU=techlab_Brasil,DC=techlab,DC=br","COD17.techlab.br","True","COD17","computer","00db7684-ef23-4f8e-8e5c-70f71f7a68bc","COD17$","S-1-5-21-925037465-2226837016-4004537459-13637","COD17$@techlab.com.br"
"CN=MACHINE-TVGAPP2,OU=Internos,OU=Servidores,DC=techlab,DC=br","MACHINE-Tvgapp2.techlab.br","True","MACHINE-TVGAPP2","computer","7f70372b-4d34-4862-abde-dc8e7b7c4c70","MACHINE-TVGAPP2$","S-1-5-21-925037465-2226837016-4004537459-12199",
"CN=COD10,OU=Computadores,OU=Compliance ESG,OU=Matriz,OU=MA,OU=techlab_Brasil,DC=techlab,DC=br","COD10.techlab.br","True","COD10","computer","9a35d12b-a30c-4a46-82b5-f33b362d5207","COD10$","S-1-5-21-925037465-2226837016-4004537459-12204","COD10$@techlab.com.br"
"CN=MACHINE-TVGVM2,OU=Internos,OU=Servidores,DC=techlab,DC=br","MACHINE-Tvgvm2.techlab.br","True","MACHINE-TVGVM2","computer","e0a220a3-6b69-4b2d-b6e4-6bbd012eeac8","MACHINE-TVGVM2$","S-1-5-21-925037465-2226837016-4004537459-13972",
"CN=MACHINE-TVGDEV,OU=Internos,OU=Servidores,DC=techlab,DC=br","MACHINE-Tvgdev.techlab.br","True","MACHINE-TVGDEV","computer","2f7dbf37-6f77-462f-af0d-e2c06ab03875","MACHINE-TVGDEV$","S-1-5-21-925037465-2226837016-4004537459-13799",
"CN=MACHINE-TVGVM,OU=Internos,OU=Servidores,DC=techlab,DC=br","MACHINE-Tvgvm.techlab.br","True","MACHINE-TVGVM","computer","f1d6d71f-1259-4d3b-b6d1-04ce8341aea2","MACHINE-TVGVM$","S-1-5-21-925037465-2226837016-4004537459-13839",
"CN=MACHINE-TVGVM1,OU=Internos,OU=Servidores,DC=techlab,DC=br","MACHINE-Tvgvm1.techlab.br","True","MACHINE-TVGVM1","computer","421823b4-e6d7-4420-a481-be805add4f75","MACHINE-TVGVM1$","S-1-5-21-925037465-2226837016-4004537459-13996",
